Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-02-21,540439,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Between Stations,RBSB-26,Active Restriction,2023-05-05,,25 mph,Track,1000.0,0.1893939393939394,0.0039948099429221,47.41,0.0013883150520007,136.42,Single Segment,Start|End,292,,1,0,0,0,0,1
2024-04-08,550078,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Allston St to Griggs St,place-alsgr | place-grigg,Between Stations,GBEB-16,Active Restriction,2023-06-18,,20 mph,Track,370.0000000000003,0.0700757575757576,0.0012979395735461,53.99,0.00051367656924027,136.42,Single Segment,Start|End,295,,1,0,0,0,0,1
2024-01-11,550504,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Allston St Station,place-alsgr,Station,GBWB-19,Active Restriction,2023-06-21,,10 mph,Track,176.5999999999991,0.0334469696969695,0.0006195030505087892,53.99,0.00024517643818332746,136.42,Multi-Segment,Start,204,,1,0,0,0,0,1
2024-08-13,523904,SB,Orange Line,Orange Line,OL SB,SB Ruggles to Roxbury Cross.,place-rugg | place-rcmnl,Between Stations,OLSB-30,Active Restriction,2023-03-09,,25 mph,Track,938.9999999999986,0.1778409090909088,0.007890013712995,22.54,0.0013036278338286,136.42,Single Segment,Start|End,523,,1,0,0,0,0,1
2024-07-12,526491,NB,Orange Line,Orange Line,OL NB,NB Assembly to Wellington,place-astao | place-welln,Between Stations,OLNB-34,Active Restriction,2023-03-20,,25 mph,Track,700.0,0.1325757575757575,0.0058817993600602,22.54,0.00097182053640051,136.42,Single Segment,Start|End,480,,1,0,0,0,0,1
2024-06-09,526501,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Harvard to Central,place-harsq | place-cntsq,Between Stations,RBSB-08,Active Restriction,2023-03-20,,25 mph,Track,800.0,0.1515151515151515,0.0031958479543377,47.41,0.0011106520416005,136.42,Single Segment,Start|End,447,,1,0,0,0,0,1
2024-04-19,543720,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Quincy Adams to Braintree,place-qamnl | place-brntn,Between Stations,RBSB-34,Active Restriction,2023-05-23,,25 mph,Track,200.0,0.0378787878787878,0.0007989619885844312,47.41,0.00027766301040014574,136.42,Single Segment,Start|End,332,,1,0,0,0,0,1
2024-09-12,490317,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Between Stations,RBSB-30,Active Restriction,2022-11-09,,25 mph,Track,200.0,0.0378787878787878,0.0007989619885844312,47.41,0.00027766301040014574,136.42,Single Segment,Start|End,673,,1,0,0,0,0,1
2024-07-31,543720,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Quincy Adams to Braintree,place-qamnl | place-brntn,Between Stations,RBSB-34,Active Restriction,2023-05-23,,25 mph,Track,200.0,0.0378787878787878,0.0007989619885844312,47.41,0.00027766301040014574,136.42,Single Segment,Start|End,435,,1,0,0,0,1,1
2024-02-20,549345,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Allston St to Warren St,place-alsgr | place-wrnst,Between Stations,GBWB-20,Active Restriction,2023-06-14,,6 mph,Track,160.00000000000085,0.0303030303030304,0.0005612711669388861,53.99,0.00022213040832011775,136.42,Multi-Segment,Start,251,,1,0,0,0,0,1
2024-07-27,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.0731060606060608,0.00135406669024,53.99,0.0005358896100722832,136.42,Single Segment,Start|End,503,,1,0,0,0,0,1
2024-05-24,550078,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Allston St to Griggs St,place-alsgr | place-grigg,Between Stations,GBEB-16,Active Restriction,2023-06-18,,20 mph,Track,370.0000000000003,0.0700757575757576,0.0012979395735461,53.99,0.00051367656924027,136.42,Single Segment,Start|End,341,,1,0,0,0,0,1
2024-06-29,516965,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB Haymarket to Govt Center,place-haecl | place-gover,Between Stations,GAWB-18,Active Restriction,2023-02-13,,5 mph,Track,500.0,0.0946969696969697,0.001753972396684,53.99,0.0006941575260003644,136.42,Single Segment,Start|End,502,,1,0,0,0,0,1
2024-03-05,000048L,NB,Orange Line,Orange Line,OL NB,NB Stony Brook to Jackson Sq.,place-sbmnl | place-jaksn,Between Stations,OLNB-06,Active Restriction,2023-10-20,,10 mph,Track,299.99999999999994,0.0568181818181818,0.0025207711543115,22.54,0.00041649451560021855,136.42,Multi-Segment,End,137,,0,0,0,0,0,0
2024-02-16,541768,SB,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Between Stations,OLSB-12,Active Restriction,2023-05-11,,25 mph,Track,100.0,0.0189393939393939,0.0008402570514371758,22.54,0.00013883150520007287,136.42,Single Segment,Start|End,281,,1,0,0,0,0,1
2024-02-29,000060L,NB,Orange Line,Orange Line,OL NB,NB Haymarket to North Sta.,place-haecl | place-north,Between Stations,OLNB-26,Active Restriction,2024-02-14,,10 mph,Track,500.0,0.0946969696969697,0.0042012852571858,22.54,0.0006941575260003644,136.42,Single Segment,Start|End,15,,1,0,0,0,1,1
2024-08-14,541773,NB,Orange Line,Orange Line,OL NB,NB Green St. to Stony Brook,place-grnst | place-sbmnl,Between Stations,OLNB-04,Active Restriction,2023-05-11,,25 mph,Track,200.0,0.0378787878787878,0.0016805141028743,22.54,0.00027766301040014574,136.42,Single Segment,Start|End,461,,1,0,0,0,0,1
2024-01-21,540439,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Between Stations,RBSB-26,Active Restriction,2023-05-05,,25 mph,Track,1000.0,0.1893939393939394,0.0039948099429221,47.41,0.0013883150520007,136.42,Single Segment,Start|End,261,,1,0,0,0,0,1
2024-05-08,568653,NB,Orange Line,Orange Line,OL NB,NB Downtown Cross. Station,place-dwnxg,Station,OLNB-21,Active Restriction,2023-08-11,,10 mph,Track,400.0,0.0757575757575757,0.0033610282057487,22.54,0.0005553260208002915,136.42,Multi-Segment,Start,271,,1,0,0,0,0,1
2024-07-30,000048L,NB,Orange Line,Orange Line,OL NB,NB Stony Brook Station,place-sbmnl,Station,OLNB-05,Active Restriction,2023-10-20,,10 mph,Track,400.0,0.0757575757575757,0.0033610282057487,22.54,0.0005553260208002915,136.42,Multi-Segment,Start,284,,1,0,0,0,0,1
2024-03-14,568654,NB,Orange Line,Orange Line,OL NB,NB North Sta. to Comm. College,place-north | place-ccmnl,Between Stations,OLNB-28,Active Restriction,2023-08-11,,25 mph,Track,548.0000000000018,0.1037878787878791,0.0046046086418757,22.54,0.0007607966484964019,136.42,Multi-Segment,End,216,,0,0,0,0,0,0
2024-02-02,532636,WB,Blue Line,Blue Line,BL WB,WB Suffolk Downs to Orient Heights,place-sdmnl | place-orhte,Between Stations,BLWB-08,Active Restriction,2023-04-08,,25 mph,Track,1999.000000000001,0.378598484848485,0.030336417055167,12.48,0.0027752417889494,136.42,Multi-Segment,Midpoint,300,,0,0,0,0,0,0
2024-01-23,524006,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Braintree to Quincy Adams,place-brntn | place-qamnl,Between Stations,RBNB-02,Active Restriction,2023-03-09,,10 mph,Track,1500.0,0.2840909090909091,0.0059922149143832,47.41,0.002082472578001,136.42,Single Segment,Start|End,320,,1,0,0,0,0,1
2024-02-24,523904,SB,Orange Line,Orange Line,OL SB,SB Ruggles to Roxbury Cross.,place-rugg | place-rcmnl,Between Stations,OLSB-30,Active Restriction,2023-03-09,,25 mph,Track,938.9999999999986,0.1778409090909088,0.007890013712995,22.54,0.0013036278338286,136.42,Single Segment,Start|End,352,,1,0,0,0,0,1
2024-04-10,000023B,WB,Blue Line,Blue Line,BL WB,WB Wood I to Airport,place-wimnl | place-aport,Between Stations,BLWB-12,Active Restriction,2024-02-15,,10 mph,Track,199.0000000000009,0.0376893939393941,0.0030199834887335,12.48,0.00027627469534814627,136.42,Multi-Segment,Start,55,,1,0,0,0,0,1
