mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Braintree,place-brntn,0,15902,49,0,325,0,838
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,Chinatown,place-chncl,23519,14706,13,1809,1131,13491,567
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Ruggles,place-rugg,98968,18696,60,1649,312,3963,329
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Massachusetts Avenue,place-masta,12630,31264,60,210,521,3070,755
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_06,PM_PEAK,Savin Hill,place-shmnl,2541,24967,49,52,510,2498,1125
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_07,EVENING,North Station,place-north,40640,32942,60,677,549,2178,425
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,North Quincy,place-nqncy,321,2258,49,7,46,137,1003
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,22988,2071,49,469,42,790,972
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Ruggles,place-rugg,81210,19382,60,1353,323,3767,309
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Fields Corner,place-fldcr,13206,1039,49,270,21,908,486
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Jackson Square,place-jaksn,1732,3078,60,29,51,197,622
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Malden Center,place-mlmnl,93,8949,60,2,149,81,534
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Jackson Square,place-jaksn,6279,31026,60,105,517,1532,753
